Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
FAM_P5208,1_659,hypothetical protein,6,6
FAM_P5209,1_691,hypothetical protein,6,6
FAM_P5210,1_915,hypothetical protein,6,6
FAM_P5211,1_947,hypothetical protein,6,6
FAM_P5212,1_979,hypothetical protein,6,6
FAM_P5213,1_1011,hypothetical protein,6,6
FAM_P5214,1_1107,hypothetical protein,6,6
FAM_P5215,1_1139,hypothetical protein,3,3
FAM_P5216,1_1427,hypothetical protein,6,6
FAM_P5217,1_1555,hypothetical protein,4,4
FAM_P5218,1_1651,hypothetical protein,6,6
FAM_P5219,1_1779,hypothetical protein,6,6
FAM_P5220,1_1811,hypothetical protein,5,5
FAM_P5221,1_1939,hypothetical protein,2,2
FAM_P5222,1_2163,hypothetical protein,2,2
FAM_P5223,1_2579,hypothetical protein,2,2
FAM_P5224,1_2771,hypothetical protein,2,2
FAM_P5225,1_2035,hypothetical protein,6,6
FAM_P5226,1_2931,hypothetical protein,2,2
FAM_P5227,1_3315,hypothetical protein,2,2
FAM_P5228,1_3443,hypothetical protein,2,2
FAM_P5229,1_3667,hypothetical protein,2,2
FAM_P5230,1_3555,hypothetical protein,6,6
FAM_P5231,1_3726,hypothetical protein,6,6
FAM_P5232,1_3873,hypothetical protein,6,6
FAM_P5233,1_4883,hypothetical protein,2,2
FAM_P5234,1_4915,hypothetical protein,2,2
FAM_P5235,1_5011,hypothetical protein,2,2
FAM_P5236,1_4254,hypothetical protein,6,6
FAM_P5237,3_27,hypothetical protein,3,3
FAM_P5238,1_7,hypothetical protein,2,2
SING_P7OY,1_263,hypothetical protein,1,1
SING_P7PU,1_295,hypothetical protein,1,1
SING_P87M,1_935,hypothetical protein,1,1
SING_P8C2,1_1095,hypothetical protein,1,1
SING_P8CY,1_1127,hypothetical protein,1,1
SING_P8K2,1_1383,hypothetical protein,1,1
FAM_P5239,1_1447,hypothetical protein,2,2
FAM_P5240,1_1799,hypothetical protein,2,2
SING_P8WI,1_1831,hypothetical protein,1,1
SING_P8XE,1_1863,hypothetical protein,1,1
SING_P9AQ,1_2343,hypothetical protein,1,1
SING_P9CI,1_2407,hypothetical protein,1,1
FAM_P5241,1_1085,hypothetical protein,3,9
SING_P9JM,1_2663,hypothetical protein,1,1
SING_P9KI,1_2695,hypothetical protein,1,1
SING_P9LE,1_2727,hypothetical protein,1,1
FAM_P5242,1_3784,hypothetical protein,3,3
SING_P9W2,1_3111,hypothetical protein,1,1
SING_PAEQ,1_3783,hypothetical protein,1,1
FAM_P5243,1_3879,hypothetical protein,2,2
SING_PAJ6,1_3943,hypothetical protein,1,1
SING_PAK2,1_3975,hypothetical protein,1,1
SING_PALU,1_4039,hypothetical protein,1,1
SING_PAMQ,1_4071,hypothetical protein,1,1
SING_PANM,1_4103,hypothetical protein,1,1
SING_PAOI,1_4135,hypothetical protein,1,1
SING_PAUQ,1_4359,hypothetical protein,1,1
SING_PB6A,2_59,hypothetical protein,1,1
FAM_P5244,1_1879,hypothetical protein,6,6
FAM_P5245,1_1912,hypothetical protein,6,6
FAM_P5246,1_1951,hypothetical protein,6,6
FAM_P5247,1_1975,hypothetical protein,6,6
FAM_P5248,1_2009,hypothetical protein,6,6
FAM_P5249,1_2838,hypothetical protein,3,3
FAM_P5250,1_3162,hypothetical protein,3,3
FAM_P5251,1_2614,hypothetical protein,6,6
FAM_P5252,1_2645,hypothetical protein,6,6
FAM_P5253,1_2676,hypothetical protein,6,6
FAM_P5254,1_3065,hypothetical protein,5,5
FAM_P5255,1_4259,hypothetical protein,2,2
FAM_P5256,1_4488,hypothetical protein,2,2
FAM_P5257,1_4520,hypothetical protein,2,2
FAM_P5258,1_3987,hypothetical protein,6,6
FAM_P5259,1_4084,hypothetical protein,6,6
FAM_P5260,1_4116,hypothetical protein,6,6
FAM_P5261,1_4147,hypothetical protein,6,6
FAM_P5262,1_139,hypothetical protein,2,2
FAM_P5263,1_267,hypothetical protein,2,2
FAM_P5264,1_299,hypothetical protein,2,2
FAM_P5265,1_363,hypothetical protein,3,3
FAM_P5266,1_427,hypothetical protein,2,2
FAM_P5267,1_810,hypothetical protein,2,2
FAM_P5268,1_1099,hypothetical protein,2,2
FAM_P5269,1_1131,hypothetical protein,2,2
FAM_P5270,1_1195,hypothetical protein,2,2
FAM_P5271,1_1259,hypothetical protein,2,2
FAM_P5272,1_1291,hypothetical protein,2,2
FAM_P5273,1_1323,hypothetical protein,2,2
FAM_P5274,1_1451,hypothetical protein,2,2
FAM_P5275,1_1515,hypothetical protein,2,2
FAM_P5276,1_1611,hypothetical protein,2,2
FAM_P5277,3_39,hypothetical protein,4,4
FAM_P5278,3_18,hypothetical protein,2,2
SING_PFF6,1_47,hypothetical protein,1,1
SING_PFG2,1_79,hypothetical protein,1,1
SING_PFIQ,1_175,hypothetical protein,1,1
FAM_P5279,1_773,hypothetical protein,2,2
SING_PG1E,1_847,hypothetical protein,1,1
SING_PGHE,1_1423,hypothetical protein,1,1
SING_PGQA,1_1743,hypothetical protein,1,1
FAM_P5280,1_1406,hypothetical protein,2,2
FAM_P5281,1_1476,hypothetical protein,6,6
SING_PH8Y,1_2415,hypothetical protein,1,1
SING_PHEA,1_2607,hypothetical protein,1,1
SING_PHN6,1_2927,hypothetical protein,1,1
FAM_P5282,1_1575,hypothetical protein,3,5
SING_PHYQ,1_3343,hypothetical protein,1,1
SING_PIFM,1_3951,hypothetical protein,1,1
SING_PINM,1_4239,hypothetical protein,1,1
FAM_P5283,1_4579,hypothetical protein,2,2
FAM_P5284,1_3632,hypothetical protein,2,2
SING_PJ5E,3_62,hypothetical protein,1,1
SING_PJ6A,3_94,hypothetical protein,1,1
FAM_P5285,2_106,hypothetical protein,2,2
SING_PJ8Y,4_16,hypothetical protein,1,1
SING_PJ9U,4_48,hypothetical protein,1,1
SING_PJAQ,4_80,hypothetical protein,1,1
SING_PJBM,4_112,hypothetical protein,1,1
FAM_P5286,1_3562,hypothetical protein,2,2
FAM_P5287,1_3154,hypothetical protein,3,3
FAM_P5288,1_2928,hypothetical protein,4,4
FAM_P5289,1_2714,hypothetical protein,6,6
FAM_P5290,1_2683,hypothetical protein,6,6
FAM_P5291,1_2651,hypothetical protein,6,6
FAM_P5292,1_2617,hypothetical protein,6,6
SING_PKK2,1_1586,hypothetical protein,1,1
SING_PL9U,1_2514,hypothetical protein,1,1
FAM_P5293,1_1109,hypothetical protein,4,4
FAM_P5294,1_1015,hypothetical protein,6,6
FAM_P5295,1_2834,hypothetical protein,1,2
FAM_P5296,1_693,hypothetical protein,6,6
FAM_P5297,1_660,hypothetical protein,6,6
FAM_P5298,1_630,hypothetical protein,6,6
FAM_P5299,1_599,hypothetical protein,6,6
SING_PM8I,1_3762,hypothetical protein,1,1
SING_PM9E,1_3794,hypothetical protein,1,1
FAM_P5300,1_4121,hypothetical protein,5,5
SING_PMS2,2_127,hypothetical protein,1,1
FAM_P5301,2_49,hypothetical protein,3,4
FAM_P5302,2_250,hypothetical protein,2,2
FAM_P5303,2_218,hypothetical protein,2,2
FAM_P5304,2_154,hypothetical protein,2,2
SING_P6R,1_243,hypothetical protein,1,1
SING_P7N,1_275,hypothetical protein,1,1
FAM_P5305,1_1367,hypothetical protein,6,6
FAM_P5306,1_1399,hypothetical protein,6,6
FAM_P5307,1_1431,hypothetical protein,6,6
FAM_P5308,1_1363,hypothetical protein,2,2
SING_P1GZ,1_1907,hypothetical protein,1,1
SING_P1JN,1_2003,hypothetical protein,1,1
SING_P1SJ,1_2323,hypothetical protein,1,1
FAM_P5309,1_2707,hypothetical protein,3,3
FAM_P5310,1_2739,hypothetical protein,6,6
FAM_P5311,1_2771,hypothetical protein,6,6
FAM_P5312,1_2803,hypothetical protein,4,4
FAM_P5313,1_2963,hypothetical protein,2,2
FAM_P5314,1_3411,hypothetical protein,3,3
FAM_P5315,1_3955,hypothetical protein,6,6
FAM_P5316,1_4019,hypothetical protein,6,6
FAM_P5317,1_4051,hypothetical protein,6,6
FAM_P5318,1_4179,hypothetical protein,2,2
SING_P38Z,1_4211,hypothetical protein,1,1
FAM_P5319,1_20,hypothetical protein,4,4
FAM_P5320,1_47,hypothetical protein,6,6
FAM_P5321,1_244,hypothetical protein,6,6
FAM_P5322,1_308,hypothetical protein,6,6
FAM_P5323,1_372,hypothetical protein,6,6
FAM_P5324,1_532,hypothetical protein,4,4
FAM_P5325,1_564,hypothetical protein,6,6
FAM_P5326,1_628,hypothetical protein,6,6
FAM_P5327,1_692,hypothetical protein,6,6
FAM_P5328,1_852,hypothetical protein,6,6
FAM_P5329,1_948,hypothetical protein,6,6
FAM_P5330,1_980,hypothetical protein,6,6
FAM_P5331,1_1012,hypothetical protein,6,6
FAM_P5332,1_1108,hypothetical protein,6,6
FAM_P5333,1_1332,hypothetical protein,3,3
FAM_P5334,1_1556,hypothetical protein,4,4
FAM_P5335,1_1652,hypothetical protein,6,6
FAM_P5336,1_1780,hypothetical protein,6,6
FAM_P5337,1_1812,hypothetical protein,5,5
FAM_P5338,1_1304,hypothetical protein,5,5
FAM_P5339,1_1471,hypothetical protein,6,6
FAM_P5340,1_1750,hypothetical protein,6,6
FAM_P5341,1_2580,hypothetical protein,2,2
FAM_P5342,1_2072,hypothetical protein,6,7
FAM_P5343,1_2932,hypothetical protein,2,2
FAM_P5344,1_3156,hypothetical protein,3,3
FAM_P5345,1_3316,hypothetical protein,2,2
FAM_P5346,1_3668,hypothetical protein,2,2
FAM_P5347,1_3483,hypothetical protein,6,6
FAM_P5348,1_3556,hypothetical protein,6,6
FAM_P5349,1_3590,hypothetical protein,6,6
FAM_P5350,1_3727,hypothetical protein,6,6
FAM_P5351,1_4884,hypothetical protein,2,2
FAM_P5352,1_4916,hypothetical protein,2,2
FAM_P5353,1_5012,hypothetical protein,2,2
FAM_P5354,3_28,hypothetical protein,3,3
FAM_P5355,1_1720,hypothetical protein,3,3
FAM_P5356,1_1338,hypothetical protein,4,4
FAM_P5357,1_2584,hypothetical protein,2,2
FAM_P5358,1_2648,hypothetical protein,2,2
FAM_P5359,1_2936,hypothetical protein,2,2
FAM_P5360,1_3160,hypothetical protein,2,2
FAM_P5361,1_3416,hypothetical protein,2,2
FAM_P5362,1_3544,hypothetical protein,2,2
FAM_P5363,1_3672,hypothetical protein,2,2
FAM_P5364,1_4440,hypothetical protein,2,2
FAM_P5365,1_4504,hypothetical protein,2,2
FAM_P5366,1_1104,hypothetical protein,3,3
FAM_P5367,1_1343,hypothetical protein,2,2
FAM_P5368,1_1375,hypothetical protein,2,2
FAM_P5369,1_1535,hypothetical protein,2,2
FAM_P5370,1_1983,hypothetical protein,2,2
FAM_P5371,1_2239,hypothetical protein,4,4
FAM_P5372,1_2303,hypothetical protein,2,2
SING_P1ZZ,1_2591,hypothetical protein,1,1
FAM_P5373,1_3807,hypothetical protein,2,2
FAM_P5374,1_215,hypothetical protein,2,2
FAM_P5375,1_279,hypothetical protein,2,2
FAM_P5376,1_726,hypothetical protein,2,2
FAM_P5377,1_758,hypothetical protein,2,2
FAM_P5378,1_886,hypothetical protein,6,6
FAM_P5379,1_1046,hypothetical protein,2,2
FAM_P5380,1_1207,hypothetical protein,2,2
FAM_P5381,1_1463,hypothetical protein,2,2
FAM_P5382,1_1527,hypothetical protein,2,2
FAM_P5383,1_1591,hypothetical protein,2,2
FAM_P5384,1_1751,hypothetical protein,2,2
FAM_P5385,1_1879,hypothetical protein,2,2
FAM_P5386,3_81,hypothetical protein,2,2
FAM_P5387,1_46,hypothetical protein,2,2
SING_PFGE,1_91,hypothetical protein,1,1
FAM_P5388,1_470,hypothetical protein,2,2
FAM_P5389,1_752,hypothetical protein,2,2
FAM_P5390,1_808,hypothetical protein,2,2
SING_PG9Q,1_1147,hypothetical protein,1,1
SING_P8WU,1_1843,hypothetical protein,1,1
SING_P8XQ,1_1875,hypothetical protein,1,1
FAM_P5391,1_2277,hypothetical protein,1,2
FAM_P5392,1_2643,hypothetical protein,4,4
SING_P9JY,1_2675,hypothetical protein,1,1
FAM_P5393,1_1402,hypothetical protein,1,2
SING_P9Q6,1_2899,hypothetical protein,1,1
SING_P9WE,1_3123,hypothetical protein,1,1
SING_PA2M,1_3347,hypothetical protein,1,1
SING_PA5A,1_3443,hypothetical protein,1,1
FAM_P5394,1_335,hypothetical protein,3,5
FAM_P5395,1_5241,hypothetical protein,3,5
FAM_P5396,1_4019,hypothetical protein,2,2
FAM_P5397,1_4147,hypothetical protein,2,2
FAM_P5398,1_4179,hypothetical protein,2,2
SING_PAZI,1_4531,hypothetical protein,1,1
FAM_P5399,2_7,hypothetical protein,2,2
SING_PB6M,2_71,hypothetical protein,1,1
SING_PB7I,2_103,hypothetical protein,1,1
SING_P7PV,1_296,hypothetical protein,1,1
FAM_P5400,1_3067,hypothetical protein,6,6
FAM_P5401,1_3835,hypothetical protein,4,4
SING_P837,1_776,hypothetical protein,1,1
SING_P8C3,1_1096,hypothetical protein,1,1
SING_P8CZ,1_1128,hypothetical protein,1,1
FAM_P5402,1_2393,hypothetical protein,6,6
SING_P8KZ,1_1416,hypothetical protein,1,1
FAM_P5403,1_1448,hypothetical protein,2,2
FAM_P5404,1_2074,hypothetical protein,3,3
SING_P8WJ,1_1832,hypothetical protein,1,1
SING_P8XF,1_1864,hypothetical protein,1,1
FAM_P5405,1_2280,hypothetical protein,1,2
SING_P9AR,1_2344,hypothetical protein,1,1
SING_P9CJ,1_2408,hypothetical protein,1,1
FAM_P5406,1_1332,hypothetical protein,5,14
FAM_P5407,1_2632,hypothetical protein,4,4
SING_P9JN,1_2664,hypothetical protein,1,1
SING_P9KJ,1_2696,hypothetical protein,1,1
SING_P9LF,1_2728,hypothetical protein,1,1
FAM_P5408,1_2760,hypothetical protein,2,2
SING_P9PV,1_2888,hypothetical protein,1,1
SING_P9QR,1_2920,hypothetical protein,1,1
FAM_P5409,1_951,hypothetical protein,6,6
SING_P9W3,1_3112,hypothetical protein,1,1
FAM_P5410,1_3240,hypothetical protein,4,4
SING_PAER,1_3784,hypothetical protein,1,1
SING_PAJ7,1_3944,hypothetical protein,1,1
SING_PAK3,1_3976,hypothetical protein,1,1
SING_PALV,1_4040,hypothetical protein,1,1
SING_PAMR,1_4072,hypothetical protein,1,1
SING_PANN,1_4104,hypothetical protein,1,1
SING_PAOJ,1_4136,hypothetical protein,1,1
SING_PAUR,1_4360,hypothetical protein,1,1
SING_PB6B,2_60,hypothetical protein,1,1
SING_PB77,2_92,hypothetical protein,1,1
FAM_P5411,1_1847,hypothetical protein,6,6
FAM_P5412,1_1880,hypothetical protein,6,6
FAM_P5413,1_1913,hypothetical protein,6,6
FAM_P5414,1_1952,hypothetical protein,6,6
FAM_P5415,1_1976,hypothetical protein,6,6
FAM_P5416,1_2010,hypothetical protein,6,6
FAM_P5417,1_2041,hypothetical protein,6,6
FAM_P5418,1_2075,hypothetical protein,6,6
FAM_P5419,1_2103,hypothetical protein,2,6
FAM_P5420,1_2615,hypothetical protein,6,6
FAM_P5421,1_4908,hypothetical protein,2,2
FAM_P5422,1_4260,hypothetical protein,2,2
FAM_P5423,1_4361,hypothetical protein,2,2
FAM_P5424,1_4489,hypothetical protein,2,2
FAM_P5425,1_4521,hypothetical protein,2,2
FAM_P5426,1_4585,hypothetical protein,2,2
FAM_P5427,1_3988,hypothetical protein,6,6
FAM_P5428,1_4148,hypothetical protein,6,6
FAM_P5429,1_4297,hypothetical protein,6,6
FAM_P5430,1_140,hypothetical protein,2,2
FAM_P5431,1_268,hypothetical protein,2,2
FAM_P5432,1_300,hypothetical protein,2,2
FAM_P5433,1_811,hypothetical protein,2,2
FAM_P5434,1_1132,hypothetical protein,2,2
FAM_P5435,1_1260,hypothetical protein,2,2
FAM_P5436,1_1292,hypothetical protein,2,2
FAM_P5437,1_1324,hypothetical protein,2,2
FAM_P5438,1_1452,hypothetical protein,2,2
FAM_P5439,1_1708,hypothetical protein,2,2
FAM_P5440,3_40,hypothetical protein,4,4
FAM_P5441,3_19,hypothetical protein,2,2
SING_PFF7,1_48,hypothetical protein,1,1
SING_PFG3,1_80,hypothetical protein,1,1
SING_PFIR,1_176,hypothetical protein,1,1
FAM_P5442,1_2924,hypothetical protein,3,3
FAM_P5443,1_774,hypothetical protein,2,2
SING_PGHF,1_1424,hypothetical protein,1,1
FAM_P5444,1_2205,hypothetical protein,5,5
FAM_P5445,1_1407,hypothetical protein,2,2
FAM_P5446,1_1888,hypothetical protein,6,6
SING_PH8Z,1_2416,hypothetical protein,1,1
SING_PHEB,1_2608,hypothetical protein,1,1
SING_PHN7,1_2928,hypothetical protein,1,1
SING_PHYR,1_3344,hypothetical protein,1,1
SING_PIFN,1_3952,hypothetical protein,1,1
FAM_P5447,1_4580,hypothetical protein,2,2
FAM_P5448,2_155,hypothetical protein,2,2
FAM_P5449,2_187,hypothetical protein,2,2
FAM_P5450,2_219,hypothetical protein,2,2
FAM_P5451,2_251,hypothetical protein,2,2
SING_PJ5F,3_63,hypothetical protein,1,1
SING_PJ6B,3_95,hypothetical protein,1,1
FAM_P5452,2_28,hypothetical protein,2,2
SING_PJ83,3_159,hypothetical protein,1,1
SING_PJ8Z,4_17,hypothetical protein,1,1
SING_PJ9V,4_49,hypothetical protein,1,1
SING_PJAR,4_81,hypothetical protein,1,1
SING_PJBN,4_113,hypothetical protein,1,1
FAM_P5453,1_3561,hypothetical protein,2,2
FAM_P5454,1_3465,hypothetical protein,6,9
FAM_P5455,1_3434,hypothetical protein,6,6
FAM_P5456,1_3153,hypothetical protein,2,2
FAM_P5457,1_2809,hypothetical protein,4,7
FAM_P5458,1_2682,hypothetical protein,6,6
FAM_P5459,1_2650,hypothetical protein,6,6
FAM_P5460,1_2616,hypothetical protein,6,6
FAM_P5461,1_2423,hypothetical protein,4,4
SING_PKK3,1_1587,hypothetical protein,1,1
FAM_P5462,1_1920,hypothetical protein,6,6
FAM_P5463,1_1816,hypothetical protein,6,6
SING_PL9V,1_2515,hypothetical protein,1,1
FAM_P5464,1_1014,hypothetical protein,6,6
FAM_P5465,1_981,hypothetical protein,6,6
FAM_P5466,1_952,hypothetical protein,6,6
FAM_P5467,1_2835,hypothetical protein,1,2
FAM_P5468,1_629,hypothetical protein,6,6
FAM_P5469,1_598,hypothetical protein,6,6
SING_PM8J,1_3763,hypothetical protein,1,1
FAM_P5470,1_4193,hypothetical protein,2,2
SING_PMAB,1_3827,hypothetical protein,1,1
FAM_P5471,1_3461,hypothetical protein,6,9
SING_PMS3,2_128,hypothetical protein,1,1
SING_PMSZ,3_10,hypothetical protein,1,1
FAM_P5472,2_86,hypothetical protein,2,2
SING_PMUR,3_74,hypothetical protein,1,1
FAM_P5473,2_63,hypothetical protein,2,2
FAM_P5474,2_249,hypothetical protein,2,2
FAM_P5475,2_217,hypothetical protein,2,2
FAM_P5476,2_186,hypothetical protein,2,2
FAM_P5477,2_153,hypothetical protein,2,2
SING_P6S,1_244,hypothetical protein,1,1
SING_P7O,1_276,hypothetical protein,1,1
FAM_P5478,1_759,hypothetical protein,6,6
FAM_P5479,1_1005,hypothetical protein,5,7
FAM_P5480,1_1130,hypothetical protein,6,6
FAM_P5481,1_1368,hypothetical protein,6,6
FAM_P5482,1_1400,hypothetical protein,6,6
FAM_P5483,1_1432,hypothetical protein,6,6
FAM_P5484,1_1642,hypothetical protein,4,4
FAM_P5485,1_1364,hypothetical protein,2,2
SING_P16C,1_1524,hypothetical protein,1,1
FAM_P5486,1_1556,hypothetical protein,4,4
SING_P1JO,1_2004,hypothetical protein,1,1
FAM_P5487,1_2324,hypothetical protein,2,2
FAM_P5488,1_2452,hypothetical protein,5,5
FAM_P5489,1_2708,hypothetical protein,3,3
FAM_P5490,1_2740,hypothetical protein,6,8
FAM_P5491,1_2772,hypothetical protein,6,6
FAM_P5492,1_2804,hypothetical protein,4,4
FAM_P5493,1_2964,hypothetical protein,2,2
FAM_P5494,1_3252,hypothetical protein,3,4
FAM_P5495,1_3828,hypothetical protein,6,8
FAM_P5496,1_3956,hypothetical protein,6,6
FAM_P5497,1_4052,hypothetical protein,6,7
FAM_P5498,1_4180,hypothetical protein,2,2
SING_P390,1_4212,hypothetical protein,1,1
FAM_P5499,1_21,hypothetical protein,4,4
FAM_P5500,1_113,hypothetical protein,6,6
FAM_P5501,1_245,hypothetical protein,6,6
FAM_P5502,1_309,hypothetical protein,6,6
FAM_P5503,1_341,hypothetical protein,3,3
FAM_P5504,1_565,hypothetical protein,6,6
FAM_P5505,1_597,hypothetical protein,6,6
FAM_P5506,1_949,hypothetical protein,6,6
FAM_P5507,1_1013,hypothetical protein,6,6
FAM_P5508,1_1269,hypothetical protein,4,4
FAM_P5509,1_1333,hypothetical protein,3,3
FAM_P5510,1_1653,hypothetical protein,6,6
FAM_P5511,1_1813,hypothetical protein,5,5
FAM_P5512,1_1305,hypothetical protein,5,5
FAM_P5513,1_2581,hypothetical protein,2,2
FAM_P5514,1_2933,hypothetical protein,2,2
FAM_P5515,1_3669,hypothetical protein,2,2
FAM_P5516,1_3484,hypothetical protein,6,6
FAM_P5517,1_3591,hypothetical protein,6,6
FAM_P5518,1_3695,hypothetical protein,6,7
FAM_P5519,1_3728,hypothetical protein,6,6
FAM_P5520,1_4885,hypothetical protein,2,2
FAM_P5521,1_4917,hypothetical protein,2,2
SING_P7F8,2_1,hypothetical protein,1,1
FAM_P5522,3_29,hypothetical protein,3,3
SING_P7IS,1_41,hypothetical protein,1,1
SING_P7KK,1_105,hypothetical protein,1,1
SING_P7PW,1_297,hypothetical protein,1,1
SING_P8AC,1_1033,hypothetical protein,1,1
FAM_P5523,1_2329,hypothetical protein,3,3
SING_P8D0,1_1129,hypothetical protein,1,1
SING_P8GK,1_1257,hypothetical protein,1,1
SING_P8L0,1_1417,hypothetical protein,1,1
SING_P8LW,1_1449,hypothetical protein,1,1
FAM_P5524,1_1801,hypothetical protein,2,2
SING_P8WK,1_1833,hypothetical protein,1,1
SING_P8XG,1_1865,hypothetical protein,1,1
FAM_P5525,1_2281,hypothetical protein,1,2
SING_P9AS,1_2345,hypothetical protein,1,1
SING_P9CK,1_2409,hypothetical protein,1,1
SING_P9JO,1_2665,hypothetical protein,1,1
SING_P9KK,1_2697,hypothetical protein,1,1
SING_P9PW,1_2889,hypothetical protein,1,1
SING_P9UC,1_3049,hypothetical protein,1,1
SING_P9W4,1_3113,hypothetical protein,1,1
FAM_P5526,1_905,hypothetical protein,6,6
SING_PA44,1_3401,hypothetical protein,1,1
SING_PAES,1_3785,hypothetical protein,1,1
FAM_P5527,1_4301,hypothetical protein,3,3
SING_PAJ8,1_3945,hypothetical protein,1,1
SING_PAK4,1_3977,hypothetical protein,1,1
SING_PALW,1_4041,hypothetical protein,1,1
SING_PAMS,1_4073,hypothetical protein,1,1
SING_PANO,1_4105,hypothetical protein,1,1
SING_PAOK,1_4137,hypothetical protein,1,1
SING_PAUS,1_4361,hypothetical protein,1,1
FAM_P5528,1_3754,hypothetical protein,6,6
SING_PB6C,2_61,hypothetical protein,1,1
FAM_P5529,1_1568,hypothetical protein,5,5
FAM_P5530,1_1848,hypothetical protein,6,6
FAM_P5531,1_1914,hypothetical protein,6,6
FAM_P5532,1_1098,hypothetical protein,2,4
FAM_P5533,1_2011,hypothetical protein,6,6
FAM_P5534,1_2042,hypothetical protein,6,6
FAM_P5535,1_2678,hypothetical protein,6,6
FAM_P5536,1_2802,hypothetical protein,4,4
FAM_P5537,1_2815,hypothetical protein,6,6
FAM_P5538,1_2847,hypothetical protein,6,6
FAM_P5539,1_3740,hypothetical protein,4,4
FAM_P5540,1_3836,hypothetical protein,4,4
FAM_P5541,1_4907,hypothetical protein,2,2
FAM_P5542,1_4229,hypothetical protein,2,2
FAM_P5543,1_4261,hypothetical protein,2,2
FAM_P5544,1_4293,hypothetical protein,2,2
FAM_P5545,1_4362,hypothetical protein,2,2
FAM_P5546,1_4490,hypothetical protein,2,2
FAM_P5547,1_4522,hypothetical protein,2,2
FAM_P5548,1_4586,hypothetical protein,3,3
FAM_P5549,1_3989,hypothetical protein,6,6
FAM_P5550,1_4086,hypothetical protein,6,6
FAM_P5551,1_4118,hypothetical protein,6,6
FAM_P5552,1_4149,hypothetical protein,6,6
FAM_P5553,1_4237,hypothetical protein,6,6
FAM_P5554,1_4298,hypothetical protein,6,6
FAM_P5555,1_301,hypothetical protein,2,2
FAM_P5556,1_397,hypothetical protein,3,3
FAM_P5557,1_812,hypothetical protein,2,2
FAM_P5558,1_1133,hypothetical protein,2,2
FAM_P5559,1_1261,hypothetical protein,2,2
FAM_P5560,1_1293,hypothetical protein,2,2
FAM_P5561,1_1325,hypothetical protein,2,2
FAM_P5562,1_1485,hypothetical protein,2,2
FAM_P5563,1_1773,hypothetical protein,2,2
FAM_P5564,3_41,hypothetical protein,4,4
FAM_P5565,3_20,hypothetical protein,2,2
SING_PFF8,1_49,hypothetical protein,1,1
SING_PFG4,1_81,hypothetical protein,1,1
SING_PFIS,1_177,hypothetical protein,1,1
FAM_P5566,1_2923,hypothetical protein,3,3
FAM_P5567,1_775,hypothetical protein,2,2
SING_PGHG,1_1425,hypothetical protein,1,1
FAM_P5568,1_1380,hypothetical protein,2,2
FAM_P5569,1_1408,hypothetical protein,2,2
SING_PH90,1_2417,hypothetical protein,1,1
FAM_P5570,1_1823,hypothetical protein,6,8
SING_PHEC,1_2609,hypothetical protein,1,1
FAM_P5571,1_2633,hypothetical protein,4,5
SING_PHHW,1_2737,hypothetical protein,1,1
SING_PHN8,1_2929,hypothetical protein,1,1
FAM_P5572,1_857,hypothetical protein,6,6
FAM_P5573,1_4581,hypothetical protein,2,2
FAM_P5574,2_28,hypothetical protein,2,2
SING_PJ04,2_124,hypothetical protein,1,1
FAM_P5575,2_156,hypothetical protein,2,2
FAM_P5576,2_188,hypothetical protein,2,2
FAM_P5577,2_220,hypothetical protein,2,2
SING_PJ3O,2_252,hypothetical protein,1,1
FAM_P5578,3_32,hypothetical protein,2,2
SING_PJ5G,3_64,hypothetical protein,1,1
FAM_P5579,2_27,hypothetical protein,2,2
SING_PJ84,3_160,hypothetical protein,1,1
SING_PJ90,4_18,hypothetical protein,1,1
SING_PJ9W,4_50,hypothetical protein,1,1
SING_PJAS,4_82,hypothetical protein,1,1
SING_PJBO,4_114,hypothetical protein,1,1
FAM_P5580,1_3560,hypothetical protein,2,2
SING_PJF8,1_116,hypothetical protein,1,1
FAM_P5581,1_3150,hypothetical protein,2,3
FAM_P5582,1_732,hypothetical protein,3,3
FAM_P5583,1_2649,hypothetical protein,6,6
SING_PKK4,1_1588,hypothetical protein,1,1
FAM_P5584,1_1815,hypothetical protein,6,6
FAM_P5585,1_2327,hypothetical protein,3,3
FAM_P5586,1_3141,hypothetical protein,2,3
FAM_P5587,1_576,hypothetical protein,5,5
FAM_P5588,1_489,hypothetical protein,2,2
SING_PM6S,1_3700,hypothetical protein,1,1
SING_PM8K,1_3764,hypothetical protein,1,1
FAM_P5589,1_4087,hypothetical protein,6,6
FAM_P5590,2_1,hypothetical protein,1,2
SING_PMPG,2_33,hypothetical protein,1,1
SING_PMS4,2_129,hypothetical protein,1,1
SING_PMT0,3_11,hypothetical protein,1,1
FAM_P5591,2_87,hypothetical protein,2,2
SING_PMUS,3_75,hypothetical protein,1,1
FAM_P5592,2_202,hypothetical protein,2,2
FAM_P5593,2_27,hypothetical protein,2,2
FAM_P5594,2_248,hypothetical protein,2,2
FAM_P5595,2_216,hypothetical protein,2,2
FAM_P5596,2_185,hypothetical protein,2,2
FAM_P5597,2_152,hypothetical protein,2,2
FAM_P5598,1_2596,hypothetical protein,1,3
SING_P7P,1_277,hypothetical protein,1,1
FAM_P5599,1_1401,hypothetical protein,6,6
FAM_P5600,1_1433,hypothetical protein,6,6
